confidence,rationale,author,place_id,rating,accommodation_quality,adventure_level,beach_quality,cost_level,cultural_richness,family_friendliness,food_variety,historical_significance,mountain_terrain,natural_scenery,nightlife_intensity,relaxation_level,safety,transportation_accessibility,urban_vibrancy
0.8,"The text describes a well-organized tour in Nizhny Novgorod with a rich program, but lacks specific details on many features, leading to a mix of moderate scores.",Ольга,14,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
0.8,"Алтай описывается как место силы с прекрасным природным окружением, что указывает на высокое качество природных ландшафтов и уровень релаксации. Однако, информация о других аспектах, таких как ночная жизнь, безопасность и доступность транспорта, не представлена, поэтому они оценены как неизвестные.",Екатерина,15,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.5
0.5,The text provides a general impression of the experience but lacks specific details to accurately assess the features.,Ольга,16,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.9,"The text highlights cultural richness through unique architectural structures and local cuisine, suggesting a moderate level of adventure and family-friendliness. However, it lacks information on nightlife and beach quality, leading to lower scores in those areas.",Светлана,17,5,0.5,0.5,0.0,0.5,0.8,0.5,0.7,0.8,0.0,0.6,0.0,0.6,0.5,0.5,0.5
0.9,"The text describes a rich experience in the Caucasus with beautiful natural scenery, cultural richness, and good food variety. It mentions the presence of mountains and a peaceful atmosphere, indicating high relaxation levels. However, it lacks specific details on nightlife and transportation accessibility.",Наталья,19,5,0.8,0.7,0.0,0.5,0.9,0.7,0.9,0.8,1.0,1.0,0.5,0.9,0.8,0.5,0.6
0.8,"The text indicates a well-organized tour with excellent guides, suggesting a moderate level of quality and experience, but lacks specific details on many features.",Виталий,20,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5
0.9,"The text highlights the relaxing nature of the trip, the quality of accommodation, and the pleasant food experience, indicating high accommodation quality, food variety, and relaxation level. However, it lacks details on nightlife, beach quality, and cultural richness, leading to moderate scores for those features.",Виктория,21,5,0.9,0.3,0.0,0.5,0.5,0.5,0.8,0.5,0.7,0.8,0.0,0.9,0.8,0.7,0.4
0.8,"The text highlights the stunning nature and rich history of Ingushetia and North Ossetia, suggesting high natural scenery and historical significance. Cultural richness is noted, but specific details on accommodation, food variety, and adventure activities are less clear, leading to moderate scores.",Оксана,22,5,0.5,0.5,0.0,0.5,0.7,0.5,0.5,0.7,0.8,0.9,0.5,0.6,0.5,0.5,0.5
0.9,"The text indicates a positive experience with organized tours and cultural attractions, suggesting a rich cultural environment and historical significance. However, it lacks specific details on accommodation quality, food variety, and safety, leading to a moderate confidence level.",Лидия,23,5,0.5,0.5,0.0,0.5,0.8,0.5,0.5,0.8,0.0,0.5,0.5,0.5,0.5,0.5,0.7
0.8,"The tour emphasizes adventure and natural scenery, particularly in mountainous areas, while cultural richness is noted through storytelling. However, there is no mention of beaches or nightlife, and accommodation quality and cost are uncertain.",Анастасия,24,5,0.5,0.8,0.0,0.5,0.7,0.5,0.5,0.6,0.9,0.9,0.0,0.8,0.5,0.5,0.5
0.9,"The tour included comfortable accommodations in the mountains and good food, indicating high accommodation quality and food variety. The presence of mountains suggests high mountain terrain and natural scenery. Adventure level is moderate due to jeep travel. Beach quality is decent but not peak season. Cultural richness and historical significance are uncertain, hence rated as average. Nightlife is likely low due to the off-season.",Никита,25,5,0.8,0.7,0.6,0.5,0.5,0.5,0.8,0.5,0.9,0.9,0.3,0.8,0.5,0.5,0.4
0.9,"The region is described as having unique natural attractions and rich cultural history, indicating high natural scenery and cultural richness. Adventure level is high due to the mention of various outdoor activities. Food variety is noted as unique and tasty, while accommodation quality and transportation accessibility are average due to some infrastructure issues. Safety and family-friendliness are uncertain, leading to a neutral score.",Елена,26,5,0.5,0.8,0.0,0.5,0.8,0.5,0.7,0.7,0.9,0.9,0.0,0.7,0.5,0.5,0.5
0.9,"The text highlights the stunning natural scenery and high-quality excursions and food, but mentions noise issues in accommodation, indicating a moderate nightlife intensity and relaxation level.",Регина,27,5,0.7,0.5,0.0,0.5,0.5,0.5,0.7,0.5,0.8,1.0,0.6,0.4,0.5,0.5,0.5
0.9,"The trip description highlights beautiful scenery, interesting excursions, and good food, indicating a rich cultural experience and family-friendly atmosphere. However, specific details about accommodation quality, nightlife, and safety are less clear, leading to moderate scores.",Екатерина,28,5,0.5,0.7,0.0,0.5,0.6,0.8,0.7,0.6,0.5,0.8,0.3,0.6,0.5,0.5,0.4
0.9,"The text highlights the quality of guides and cultural richness, indicating a strong presence of historical significance and family-friendly experiences. However, it lacks details on beaches, mountains, and nightlife.",Светлана,29,5,0.5,0.2,0.0,0.5,0.8,0.7,0.5,0.8,0.0,0.5,0.3,0.4,0.7,0.6,0.7
0.9,"Текст подчеркивает невероятные виды и интересные маршруты, что указывает на высокую природную красоту и уровень приключений. Остальные характеристики не упоминаются явно, поэтому оценены как 0.5.",Ольга,30,5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
0.7,"Текст содержит только положительные эмоции от поездки, но не предоставляет конкретной информации о характеристиках места.",Яна,31,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5
